"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 04 12:57:18 UTC 2026","Wed Feb 04 12:57:20 UTC 2026","1791","tests","test_buy_product","TestBuyProduct2","","","Покупка продукта - альтернативный тест","Второй тест процесса покупки товара"
"passed","Wed Feb 04 12:57:18 UTC 2026","Wed Feb 04 12:57:20 UTC 2026","1776","tests","test_buy_product","TestBuyProduct","","","Покупка продукта - основной тест","Тест процесса покупки товара: добавление в корзину и оформление заказа"
