"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 04 11:11:12 UTC 2026","Wed Feb 04 11:11:14 UTC 2026","1786","tests","test_buy_product","TestBuyProduct","","","Покупка продукта - основной тест","Тест процесса покупки товара: добавление в корзину и оформление заказа"
"passed","Wed Feb 04 11:11:12 UTC 2026","Wed Feb 04 11:11:14 UTC 2026","1762","tests","test_buy_product","TestBuyProduct2","","","Покупка продукта - альтернативный тест","Второй тест процесса покупки товара"
