"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 04 14:35:14 UTC 2026","Wed Feb 04 14:35:15 UTC 2026","1770","tests","test_buy_product","TestBuyProduct","","","Покупка продукта - основной тест","Тест процесса покупки товара: добавление в корзину и оформление заказа"
"passed","Wed Feb 04 14:35:14 UTC 2026","Wed Feb 04 14:35:15 UTC 2026","1782","tests","test_buy_product","TestBuyProduct2","","","Покупка продукта - альтернативный тест","Второй тест процесса покупки товара"
